Date,Open,High,Low,Close,Adj Close,Volume
2020-08-12,7.100000,7.450000,7.000000,7.350000,7.350000,46969580
2020-08-13,7.500000,7.550000,7.250000,7.250000,7.250000,18902236
2020-08-14,7.250000,7.300000,7.000000,7.050000,7.050000,17497091
2020-08-17,7.050000,7.100000,6.950000,7.000000,7.000000,11586406
2020-08-18,7.050000,7.150000,7.000000,7.050000,7.050000,10852827
2020-08-19,7.100000,7.400000,7.050000,7.350000,7.350000,29780256
2020-08-20,7.250000,7.500000,7.150000,7.250000,7.250000,15052554
2020-08-21,7.300000,7.700000,7.250000,7.400000,7.400000,42699270
2020-08-24,7.450000,7.750000,7.300000,7.550000,7.550000,27292152
2020-08-25,7.600000,7.700000,7.350000,7.350000,7.350000,17009607
2020-08-26,7.400000,7.500000,7.350000,7.400000,7.400000,14488259
2020-08-27,7.450000,7.700000,7.400000,7.450000,7.450000,18601731
2020-08-28,7.500000,7.900000,7.450000,7.600000,7.600000,44523025
2020-08-31,7.800000,7.850000,7.200000,7.250000,7.250000,26250769
2020-09-01,7.300000,7.350000,7.050000,7.200000,7.200000,9836576
2020-09-02,7.200000,7.350000,7.200000,7.250000,7.250000,5655072
2020-09-03,7.300000,7.500000,7.250000,7.300000,7.300000,8041009
2020-09-04,7.300000,7.450000,7.200000,7.400000,7.400000,14908113
2020-09-07,7.400000,7.450000,7.250000,7.300000,7.300000,6356213
2020-09-08,7.350000,7.350000,7.100000,7.150000,7.150000,5282859
2020-09-09,7.100000,7.150000,7.000000,7.100000,7.100000,7423027
2020-09-10,7.100000,7.400000,7.100000,7.150000,7.150000,9259252
2020-09-11,7.150000,7.250000,7.100000,7.150000,7.150000,4717119
2020-09-14,7.200000,7.350000,7.150000,7.200000,7.200000,6819417
2020-09-15,7.200000,7.300000,7.150000,7.200000,7.200000,8771531
2020-09-16,7.200000,7.400000,7.200000,7.250000,7.250000,10609526
2020-09-17,7.200000,7.300000,7.000000,7.000000,7.000000,15422602
2020-09-18,7.050000,7.150000,6.900000,6.950000,6.950000,10225607
2020-09-21,6.950000,7.000000,6.800000,6.800000,6.800000,8772904
2020-09-22,6.850000,6.900000,6.450000,6.700000,6.700000,10471859
2020-09-23,6.750000,6.800000,6.650000,6.650000,6.650000,4364105
2020-09-24,6.550000,6.650000,6.400000,6.450000,6.450000,6954821
2020-09-25,6.550000,6.800000,6.500000,6.750000,6.750000,6317768
2020-09-28,6.800000,6.950000,6.750000,6.900000,6.900000,6388528
2020-09-29,6.950000,7.000000,6.750000,6.800000,6.800000,6141507
2020-09-30,6.850000,6.900000,6.700000,6.750000,6.750000,2908966
2020-10-01,6.800000,6.800000,6.700000,6.750000,6.750000,4451655
2020-10-05,6.800000,6.850000,6.700000,6.700000,6.700000,3453115
2020-10-06,6.750000,6.750000,6.650000,6.700000,6.700000,3796473
2020-10-07,6.700000,6.800000,6.650000,6.750000,6.750000,4167416
2020-10-08,6.800000,7.000000,6.750000,6.850000,6.850000,8927292
2020-10-09,6.850000,6.950000,6.750000,6.850000,6.850000,7128665
2020-10-12,6.900000,7.000000,6.800000,6.850000,6.850000,6830727
2020-10-13,6.850000,7.050000,6.800000,6.900000,6.900000,7342743
2020-10-14,6.900000,6.950000,6.800000,6.850000,6.850000,8353217
2020-10-15,6.850000,6.950000,6.700000,6.750000,6.750000,8554375
2020-10-16,6.750000,6.800000,6.600000,6.650000,6.650000,5374804
2020-10-19,6.700000,6.700000,6.250000,6.600000,6.600000,11214481
